recommendedVideoURL,top20,recommendedAuthor,recommendedTitle,thumbnail,step,amount,equivalent,related,unrelated
https://youtube.com/watch?v=ynyRa208lJk,FALSE,Quick Support,What is Corona Virus With Full Information? – [Hindi] – Quick Support,https://i.ytimg.com/vi/ynyRa208lJk/mqdefault.jpg,English,4,x,,
https://youtube.com/watch?v=2ObbunBKqfI,FALSE,Doctor Arunkumar,கொரோனா வைரஸ் – முழு தகவல்கள் | Dr. அருண்குமார் | Corona virus – Complete details,https://i.ytimg.com/vi/2ObbunBKqfI/mqdefault.jpg,English,3,x,,
https://youtube.com/watch?v=fE1bvEp8V-Y,FALSE,ashley max,She Believes In Me - Kenny Rogers ( with lyrics ),https://i.ytimg.com/vi/fE1bvEp8V-Y/mqdefault.jpg,English,3,,,x
https://youtube.com/watch?v=Jv8iO2aTP6I,FALSE,GMA News,"24 Oras Express: March 24, 2020 [HD]",https://i.ytimg.com/vi/Jv8iO2aTP6I/mqdefault.jpg,English,2,x,,
https://youtube.com/watch?v=Pq96IgKLf_k,FALSE,Kenny Rogers,Lady,https://i.ytimg.com/vi/Pq96IgKLf_k/mqdefault.jpg,English,4,,,x
https://youtube.com/watch?v=PjWcMLFdNLU,FALSE,Kenny Rogers,She Believes In Me,https://i.ytimg.com/vi/PjWcMLFdNLU/mqdefault.jpg,English,3,,,x
https://youtube.com/watch?v=HMnW6Rt1T-E,FALSE,Dr. Steve Turley,Rachel Maddow’s Anti-Trump Show Being Used as State-Controlled Chinese Propaganda!!!,https://i.ytimg.com/vi/HMnW6Rt1T-E/mqdefault.jpg,English,5,,x,
https://youtube.com/watch?v=p1Wxt74TNwY,FALSE,SABC Digital News,[LIVE]SA Inter-ministerial update on COVID-19 measures: 25 March 2020,https://i.ytimg.com/vi/p1Wxt74TNwY/mqdefault.jpg,English,2,x,,
https://youtube.com/watch?v=nU0wt2wqqP8,FALSE,Polimer News,🔴LIVE: Polimer News Live| COVID 19| Coronavirus Vaccine| Coronavirus Live Updates| 21 Days Lock Down,https://i.ytimg.com/vi/nU0wt2wqqP8/mqdefault.jpg,English,2,x,,
https://youtube.com/watch?v=57RVJATiG6U,FALSE,DW News,Can controlled ’herd immunity’ be an alternative to social distancing? | Coronavirus Analysis,https://i.ytimg.com/vi/57RVJATiG6U/mqdefault.jpg,English,2,x,,
https://youtube.com/watch?v=9P6nrjciiS0,FALSE,Medlife Crisis,Real Doctor Reacts To CONTAGION (2011) - Did It Predict Coronavirus?,https://i.ytimg.com/vi/9P6nrjciiS0/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=D_Vau7NDjQw,FALSE,Medlife Crisis,Doctor Gives 6 Reasons To Be Optimistic About Coronavirus,https://i.ytimg.com/vi/D_Vau7NDjQw/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=1cj6gqkQy2A,FALSE,Global News,Coronavirus outbreak: NYSE looks to keep momentum for second straight day | LIVE,https://i.ytimg.com/vi/1cj6gqkQy2A/mqdefault.jpg,English,5,x,,
https://youtube.com/watch?v=dT6mHi_8V5E,FALSE,MedCram - Medical Lectures Explained CLEARLY,"Coronavirus Pandemic Update 40: Ibuprofen and COVID-19 (are NSAIDs safe?), Trials of HIV medications",https://i.ytimg.com/vi/dT6mHi_8V5E/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=5MgBikgcWnY,TRUE,TEDx Talks,The first 20 hours -- how to learn anything | Josh Kaufman | TEDxCSU,https://i.ytimg.com/vi/5MgBikgcWnY/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=xZbcwi7SfZE,TRUE,Kurzgesagt – In a Nutshell,The Antibiotic Apocalypse Explained,https://i.ytimg.com/vi/xZbcwi7SfZE/mqdefault.jpg,English,1,,x,
https://youtube.com/watch?v=ronKqM51yDI,TRUE,AP Archive,Screening at Malay airports for coronavirus,https://i.ytimg.com/vi/ronKqM51yDI/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=v1FGsNP_R4U,TRUE,Blender,NPR SPECIAL 🎨 Blender Everyday #05,https://i.ytimg.com/vi/v1FGsNP_R4U/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=KEQ3Bvuvef4,TRUE,Al Arabiya English,Coronavirus: Italian actor forced to stay in quarantine with sister’s dead body,https://i.ytimg.com/vi/KEQ3Bvuvef4/mqdefault.jpg,English,1,x,,
