uxLang,recommendedVideoId,hoursOffset,pseudonym,top20,isAPItoo,step
es,s1iOX3rbQAI,46,nachos-taco-manicotti,true,false,Arabic
es,HpGG14LVcdk,46,nachos-taco-manicotti,true,true,Arabic
es,44dixK_iz_4,46,nachos-taco-manicotti,true,true,Arabic
es,FFyGK4OJfwc,46,nachos-taco-manicotti,true,true,Arabic
es,dLbiz3ipTmM,46,nachos-taco-manicotti,true,true,Arabic
es,spspuCYrHn8,46,nachos-taco-manicotti,true,true,Arabic
es,her4nBU9uPg,46,nachos-taco-manicotti,true,false,Arabic
es,NvW9gRwtQgI,46,nachos-taco-manicotti,false,false,Arabic
es,8Z4jg38s4TI,46,nachos-taco-manicotti,false,false,Arabic
es,hZPogxTPUPs,46,nachos-taco-manicotti,false,true,Arabic
es,GRQnnaCIhDA,46,nachos-taco-manicotti,false,false,Arabic
es,BeNRLOKDc3k,46,nachos-taco-manicotti,false,false,Arabic
es,0EgmBXnKqUE,46,nachos-taco-manicotti,false,true,Arabic
es,4VWh8P0ujB4,46,nachos-taco-manicotti,false,false,Arabic
es,eSb6-1fuAGU,46,nachos-taco-manicotti,false,false,Arabic
es,BjbhjZZrdbc,46,nachos-taco-manicotti,false,false,Arabic
es,4Dttd8ef9JU,46,nachos-taco-manicotti,false,true,Arabic
es,SHh1beAEKR0,46,nachos-taco-manicotti,false,false,Arabic
es,Y6oma9x0WU0,46,nachos-taco-manicotti,false,false,Arabic
es,84f-S3hu3V0,46,nachos-taco-manicotti,false,true,Arabic
es,4FDfQ_n1pqQ,46,nachos-taco-manicotti,false,true,Arabic
es,Itiq2rAxFT0,46,nachos-taco-manicotti,false,false,Arabic
es,kHr519uWjGA,46,nachos-taco-manicotti,false,false,Arabic
es,5FkhWG9Xe9s,46,nachos-taco-manicotti,false,false,Arabic
es,Br9EqpcRkrs,46,nachos-taco-manicotti,false,false,Arabic
es,drGD5s2RS3s,46,nachos-taco-manicotti,false,true,Arabic
es,n3Y4UiLmD1k,46,nachos-taco-manicotti,false,true,Arabic
en,Oc2uuziqPM8,47,succotash-basil-cranberry,true,false,Chinese
en,6Af6b_wyiwI,47,succotash-basil-cranberry,true,false,Chinese
en,RlSwsE22nX0,47,succotash-basil-cranberry,true,false,Chinese
en,Fqw-9yMV0sI,47,succotash-basil-cranberry,true,false,Chinese
en,3x1aLAw_xkY,47,succotash-basil-cranberry,true,false,Chinese
en,X31g5TB-MRo,47,succotash-basil-cranberry,true,false,Chinese
en,zun-CRis3gg,47,succotash-basil-cranberry,true,false,Chinese
en,QH680p8Aor0,47,succotash-basil-cranberry,true,true,Chinese
en,BShvYeyMm_Y&t=156s,47,succotash-basil-cranberry,true,false,Chinese
en,X9qDKcUaPUo,47,succotash-basil-cranberry,true,false,Chinese
en,rk_SMBIW1mg,47,succotash-basil-cranberry,true,false,Chinese
en,k7k7iQKhYFg,47,succotash-basil-cranberry,true,true,Chinese
en,RyNfweT_Jv4,47,succotash-basil-cranberry,true,true,Chinese
en,0u3xH5MN12k,47,succotash-basil-cranberry,true,true,Chinese
en,EhDzvTvVyko,47,succotash-basil-cranberry,true,true,Chinese
en,nLhJ9MW3VMw,47,succotash-basil-cranberry,true,false,Chinese
en,yNCEqTqRR_w,47,succotash-basil-cranberry,true,true,Chinese
en,NRuho_2jWog,47,succotash-basil-cranberry,true,false,Chinese
en,mm2w29e62bM,47,succotash-basil-cranberry,true,true,Chinese
en,YfsdJGj3-jM,47,succotash-basil-cranberry,true,false,Chinese
en,ZDFe-loITh0,47,succotash-basil-cranberry,false,true,Chinese
en,WOAWNuSQXMI,47,succotash-basil-cranberry,false,false,Chinese
en,mn5CcPbbZhc,47,succotash-basil-cranberry,false,false,Chinese
en,ec1xte-mduc,47,succotash-basil-cranberry,false,false,Chinese
en,H6TwH2rtgaU,47,succotash-basil-cranberry,false,false,Chinese
en,27RbJzsEOgw,47,succotash-basil-cranberry,false,true,Chinese
en,L5KTPCvY4Zk,47,succotash-basil-cranberry,false,false,Chinese
en,pq_fVbGR1-A,47,succotash-basil-cranberry,false,false,Chinese
